66,"Better Now","Post Malone",32008,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
67,"อยู่ดีๆก็… (feat. Youngohm)",Wonderframe,30947,https://open.spotify.com/track/0b9JDLbAgCazIwPSWj6DNL
68,"Bed (feat. Ariana Grande)","Nicki Minaj",30574,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
69,ตลอดไป...มีจริง,"Big Ass",30502,https://open.spotify.com/track/1TrKdp1eDFz43iLRoYe1OR
70,"Dance The Night Away",TWICE,29932,https://open.spotify.com/track/281tmNk46TBQS9ACYMLYyA
71,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,29733,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
72,"Feels So Good ◑",HONNE,29696,https://open.spotify.com/track/5UV4u1vdRO9zvsqe1rjNBO
73,Patient,"Charlie Puth",29297,https://open.spotify.com/track/2ZrHbO88rM6Ijeg0aJmSzl
74,พอ,"Atom Chanakan",29259,https://open.spotify.com/track/72KOmS4Af9IEFsT87TK1VQ
75,"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta",29227,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk
76,Youngblood,"5 Seconds of Summer",29180,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
77,ก็ดี..,Ironboy,29162,https://open.spotify.com/track/1KlpMWDwKBA0HTysXfvjjh
78,Connection,OneRepublic,28822,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
79,BAAM,MOMOLAND,28700,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW
80,เกาะสวาทหาดสวรรค์,"Gavin D",28548,https://open.spotify.com/track/193BjzeSedC42I3ydg1SyF
81,"I Like It","Cardi B",28433,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
82,"Lucid Dreams","Juice WRLD",28317,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
